name,quadrant,is_new
Karate,Languages & Frameworks,false
TimescaleDB,Platforms,false
AWS Lambda,Platforms,false
Jaeger,Tools,false
Gatsby.js,Languages & Frameworks,false
Highcharts,Tools,false
Molecule,Tools,false
Octopus,Tools,false
GraphQL,Languages & Frameworks,false
Twitter Bootstrap,Languages & Frameworks,false
HoloLens,Platforms,false
Rider,Tools,false
Aeron,Languages & Frameworks,false
Android Architecture Components,Languages & Frameworks,false
fastai,Languages & Frameworks,false
Google BigQuery ML,Platforms,false
Hadoop as a service,Platforms,false
GitHub,Tools,false
Out-of-container functional testing,Techniques,false
Facets,Tools,false
Squid,Tools,false
MURAL,Tools,false
Testinfra,Tools,false
Zhong Tai,Techniques,false
Text it as a service / Rapidpro.io,Platforms,false
Node.js,Platforms,false
JavaScript as a platform,Languages & Frameworks,false
Firebase,Platforms,false
Log aggregation & indexing,Tools,false
Goss,Tools,false
Domain-scoped events,Techniques,false
Semi-supervised learning loops,Techniques,false
What-If Tool,Tools,false
ReasonML,Languages & Frameworks,false
OAuth,Platforms,false
Experience Design (XD),Techniques,false
Layered microservices architecture,Techniques,false
Bounded Buy,Techniques,false
Rust,Languages & Frameworks,false
NuGet,Tools,false
InSpec,Tools,false
ROS,Platforms,false
Locust,Tools,false
Scrum certification,Techniques,false
Axon,Languages & Frameworks,false
Google as corporate platform,Platforms,false
Prototyping with InVision and Sketch,Techniques,false
Delta Lake,Platforms,false
BERT,Techniques,false
Content Security Policies,Techniques,false
IE6 End of Life,Platforms,false
JSPatch,Languages & Frameworks,false
Lotus,Languages & Frameworks,false
Zipkin,Tools,false
Digdag,Languages & Frameworks,false
Terragrunt,Tools,false
Azure DevOps,Platforms,false
Simple performance trending,Techniques,false
Categorization & prioritization of technical debt,Techniques,false
Fission,Platforms,false
Lighthouse,Tools,false
Applying product management to internal platforms,Techniques,false
Headless Firefox,Tools,false
SnapCI,Tools,false
Web as platform,Techniques,false
OpenID Connect,Platforms,false
Lens,Tools,false
Amazon Rekognition,Tools,false
RDFa,Platforms,false
PostCSS,Languages & Frameworks,false
WCF HTTP,Tools,false
HTML 5,Languages & Frameworks,false
Logic in stored procedures,Languages & Frameworks,false
Property-based unit testing,Techniques,false
TestFlight & HockeyApp,Tools,false
