"edition","name","quadrant","ring","description"
"2010-01",ASP.NET MVC,Tools,Adopt,""
"2010-01",IE6 End of Life,Tools,Adopt,"<p>Web browsers continue to evolve as they strive to keep pace with new specifications in HTML, CSS and JavaScript. Alas, many enterprises have yet to embrace the end of life for IE6 and move to a newer and more standards compliant option. Of the browsers available today, Firefox and Opera provide support for the widest range of platforms. The Google browser, Chrome, brings new innovation to the browser space by splitting browser tabs into separate processes while providing a new implementation of JavaScript. These changes appear to give Chrome a significant performance boost over other browsers and have influenced the creation of a netbook OS called Chrome OS. While enterprises may look to move off IE6 and onto Microsoft’s IE8, we remain concerned about IE8’s current level of compliance to web standards.</p>"
"2010-01",Distributed version control,Tools,Trial,"<p>Distributed version control systems such as Git and Mercurial have had significant exposure in the past year or more as open source projects move to this toolset en masse. The social networking aspect that GitHub and Bitbucket have brought to distributed version control has helped to propel these tools forward and into enterprises looking for ways to develop across multiple geographies. The move for many to a distributed version control system has resulted in a move away from tools such as Subversion and other centralized version control systems. As organizations assess and choose between these two different toolsets, we suggest that you evaluate both in relation to your team’s specific needs. While we have seen widespread adoption of distributed version control tools within ThoughtWorks and beyond, we still advocate the use of continuous integration and limits to the amount of time that code is spent outside of the main branch.</p>"
"2010-01",Subversion,Tools,Trial,"<p>Distributed version control systems such as Git and Mercurial have had significant exposure in the past year or more as open source projects move to this toolset en masse. The social networking aspect that GitHub and Bitbucket have brought to distributed version control has helped to propel these tools forward and into enterprises looking for ways to develop across multiple geographies. The move for many to a distributed version control system has resulted in a move away from tools such as Subversion and other centralized version control systems. As organizations assess and choose between these two different toolsets, we suggest that you evaluate both in relation to your team’s specific needs. While we have seen widespread adoption of distributed version control tools within ThoughtWorks and beyond, we still advocate the use of continuous integration and limits to the amount of time that code is spent outside of the main branch.</p>"
"2010-01",Visualization and metrics,Tools,Trial,""
"2010-01",Next-generation test tools,Tools,Assess,""
"2010-01",Google Wave,Tools,Hold,<p>Google Wave has sprung up over the past few months and looks to be a promising platform for collaboration over the Internet. The platform is still in early beta and suffers from some stability issues. Some early developers have integrated with the Google Wave platform but commercial releases of software that utilize Google Wave will likely wait until the beta tag has been lifted from the product.</p>
"2010-01",Language workbenches,Tools,Hold,""
"2010-01",Polyglot development environments,Tools,Hold,"<p>Polyglot programming continues to gain widespread acceptance across the industry reflecting the reality that software developers have many languages and tools at their disposal. One area that we have yet to see take off is the creation of polyglot development environments, capable of satisfying multiple language needs of development teams. While Eclipse, IntelliJ, Visual Studio and others have some cross-language capabilities, their support for a wide range of languages is limited at best.</p>"
"2010-01",Build pipelines,Techniques,Adopt,""
"2010-01",User centered design,Techniques,Adopt,<p>The benefits of user-centered design are often understated. Gaining a broader understanding of data flows and users’ goals simplify the overall architecture of a system while optimizing user interaction. In the past year we have seen a greater uptake of user-centered design in Agile software development practices as experts in both fields have established new ways of working together.</p>
"2010-01",Emergent design,Techniques,Trial,""
"2010-01",Evolutionary database,Techniques,Trial,""
"2010-01",Lean software development,Techniques,Trial,""
